media_key,product_key,variant_key,source_url,cloudinary_public_id,cloudinary_secure_url,suggested_cloudinary_folder,suggested_final_filename,alt_text,title,caption,width,height,format,role,sort_order,is_primary,notes
"tiger-aqua-outdoor-indoor-paddle-source-08","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/789/4_pack_paddles_balls_only__30232.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","08-4-pack-paddles-balls.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","8","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-09","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/786/Single_Red_Paddle__77243.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","09-single-coral-paddle.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","9","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-aqua-outdoor-indoor-paddle-source-10","tiger-aqua-outdoor-indoor-paddle","","https://cdn11.bigcommerce.com/s-dh0jici9dm/images/stencil/1280x1280/products/141/784/Blue_Paddle_Single__26045.1759532868.jpg?c=1","","","tiger-pingpong/products/tiger-aqua-outdoor-indoor-paddle","10-single-ocean-blue-paddle.jpg","Aqua Outdoor / Indoor Paddle","Aqua Outdoor / Indoor Paddle","","","","jpg","gallery","10","false","Current legacy product gallery source image. Cloudinary upload deferred; source URL preserved for fallback and traceability. Media key intentionally avoids generated Cloudinary fallback until upload is complete."
"tiger-premium-balls-6-orange-primary-01","tiger-premium-balls-6-orange","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/135/images/688/Asset_34__95063_600x600__38848.1652347243.386.513.jpg?c=1","tigerpingpong/products/tiger-premium-balls-6-orange/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303668/tigerpingpong/products/tiger-premium-balls-6-orange/01-main.jpg","tigerpingpong/products/tiger-premium-balls-6-orange","01-main.jpg","Tiger PingPong Premium 3-Star Ping Pong Balls 6 Pack Orange","Tiger PingPong Premium 3-Star Ping Pong Balls 6 Pack Orange","","386","386","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-premium-balls-6-white-primary-01","tiger-premium-balls-6-white","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/125/images/687/Asset_33__87672.1650713962_600x600__66303.1659982572.386.513.jpg?c=1","tigerpingpong/products/tiger-premium-balls-6-white/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303660/tigerpingpong/products/tiger-premium-balls-6-white/01-main.jpg","tigerpingpong/products/tiger-premium-balls-6-white","01-main.jpg","Tiger PingPong Premium 3-Star Ping Pong Balls 6 Pack White","Tiger PingPong Premium 3-Star Ping Pong Balls 6 Pack White","","386","386","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-premium-balls-140-primary-01","tiger-premium-balls-140","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/126/images/655/Asset_63__05208__66402.1659978470.386.513.jpg?c=1","tigerpingpong/products/tiger-premium-balls-140/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303661/tigerpingpong/products/tiger-premium-balls-140/01-main.jpg","tigerpingpong/products/tiger-premium-balls-140","01-main.jpg","Tiger PingPong Premium 3-Star Ping Pong Balls 140 Pack","Tiger PingPong Premium 3-Star Ping Pong Balls 140 Pack","","386","386","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-plaza-outdoor-table-grey-primary-01","tiger-plaza-outdoor-table-grey","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/117/images/409/plaza_outdoor-01__91454.1659978562.386.513.jpg?c=1","tigerpingpong/products/tiger-plaza-outdoor-table-grey/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303691/tigerpingpong/products/tiger-plaza-outdoor-table-grey/01-main.jpg","tigerpingpong/products/tiger-plaza-outdoor-table-grey","01-main.jpg","Tiger PingPong Plaza Outdoor Ping Pong Table Grey","Tiger PingPong Plaza Outdoor Ping Pong Table Grey","","386","241","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-whistler-indoor-table-primary-01","tiger-whistler-indoor-table","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/116/images/623/whistler_indoor-04__70000.1665858593.386.513.jpg?c=1","tigerpingpong/products/tiger-whistler-indoor-table/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303688/tigerpingpong/products/tiger-whistler-indoor-table/01-main.jpg","tigerpingpong/products/tiger-whistler-indoor-table","01-main.jpg","Tiger PingPong Whistler Indoor Ping Pong Table Green or Blue","Tiger PingPong Whistler Indoor Ping Pong Table Green or Blue","","386","241","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-portland-indoor-table-primary-01","tiger-portland-indoor-table","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/115/images/609/portland_indoor-04__35084.1665858559.386.513.jpg?c=1","tigerpingpong/products/tiger-portland-indoor-table/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303684/tigerpingpong/products/tiger-portland-indoor-table/01-main.jpg","tigerpingpong/products/tiger-portland-indoor-table","01-main.jpg","Tiger PingPong Portland Indoor Ping Pong Table Grey or Green","Tiger PingPong Portland Indoor Ping Pong Table Grey or Green","","386","241","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-expo-outdoor-table-primary-01","tiger-expo-outdoor-table","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/114/images/603/expo_outdoor-04__91463.1651174263.386.513.jpg?c=1","tigerpingpong/products/tiger-expo-outdoor-table/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303679/tigerpingpong/products/tiger-expo-outdoor-table/01-main.jpg","tigerpingpong/products/tiger-expo-outdoor-table","01-main.jpg","Tiger PingPong Expo Outdoor Ping Pong Table Grey or Blue","Tiger PingPong Expo Outdoor Ping Pong Table Grey or Blue","","386","241","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-portland-outdoor-table-primary-01","tiger-portland-outdoor-table","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/112/images/774/Portland_Outdoor_Black_-_Grey_Top__73629.1685479931.386.513.jpg?c=1","tigerpingpong/products/tiger-portland-outdoor-table/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303673/tigerpingpong/products/tiger-portland-outdoor-table/01-main.jpg","tigerpingpong/products/tiger-portland-outdoor-table","01-main.jpg","Tiger PingPong Portland Outdoor Ping Pong Table Grey or Blue","Tiger PingPong Portland Outdoor Ping Pong Table Grey or Blue","","386","362","jpg","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
"tiger-replacement-net-primary-01","tiger-replacement-net","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/129/images/683/net-02__62284.1650710767_600x600__81555.1671046566.386.513.jpg?c=1","tiger-pingpong/products/replacement-parts/replacement-nets/tiger-replacement-net-primary-01","","tiger-pingpong/products/replacement-parts/replacement-nets","tiger-replacement-net-primary-01.jpg","Replacement Net","Replacement Net","","","","jpg","primary","1","true","Primary source candidate from scrape manifest only. Upload to Cloudinary in a later explicit media task."
"tiger-net-post-set-primary-01","tiger-net-post-set","","https://cdn11.bigcommerce.com/s-dh0jici9dm/products/128/images/644/home_accessories-net_post_set__11719.1650711219__23376.1659982669.386.513.png?c=1","tigerpingpong/products/tiger-net-post-set/01-main","https://res.cloudinary.com/djfcisldm/image/upload/v1781303667/tigerpingpong/products/tiger-net-post-set/01-main.png","tigerpingpong/products/tiger-net-post-set","01-main.png","Table Tennis Net & Post Set","Table Tennis Net & Post Set","","386","386","png","primary","1","true","Cloudinary upload completed in PR 43. Source URL preserved for traceability."
